"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Move items","4","0","","0"
"0","","0","Add priority task","3","0","","0"
"0","","0","Complete the task by steps","4","0","","0"
"0","","0","Done the task by one button","3","0","","0"
"0","","0","Progress task","4","0","","0"
"0","","0","Search task","3","0","","0"
"0","","0","Delete task","3","0","","0"
"0","","0","Date verify","4","0","","0"
"0","","0","Add task","4","0","","0"
"0","","0","Delete checklist item","3","0","","0"
